Nama Sekolah,Alamat,Daerah,Kota,Jenis Sekolah,Tipe Sekolah,Kurikulum,Anggaran SPP (Rp),Biaya Masuk (Rp),Bahasa Pengantar,Akreditasi,Fasilitas,Ekskul,Pendidikan Agama,Prestasi,Transportasi,No Telepon,content,score,Website
SMA Nusantara 223,Jl. Raya Ujung,Pancoran,Jakarta Selatan,SMA,Nasional,Cambridge,456575,19853839,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Katolik,Debat Nasional,Tidak Ada,031-8765432,"denpasar jawa timur sd nasional c ruang musik, ruang seni futsal, tari, robotik katolik 456575 19853839",0,www.smanusantara223.sch.id
TK Ceria 79,Jl. Gatot Subroto No.15,Kemayoran,Jakarta Pusat,TK,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Debat Nasional,Tidak Ada,022-7654321,"surabaya di yogyakarta sd negeri c lab komputer, perpustakaan, lapangan pencak silat, kir tidak ada 2242902 19595167",0.048960495,www.tkceria79.sch.id
TK Ceria 85,Jl. Raya Ujung,Kebayoran Baru,Jakarta Selatan,TK,Nasional,Kurikulum Merdeka,2688725,19114226,Bahasa Inggris,A,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Tidak Ada,Lomba Tari Provinsi,Antar Jemput Pribadi,0274-998877,"yogyakarta bali smp nasional a ruang musik, ruang seni futsal, tari, robotik tidak ada 2688725 19114226",0,www.tkceria85.sch.id
SD Bintang Timur 174,Jl. Sudirman No.25,Matraman,Jakarta Timur,SD,Nasional Plus,IB,1877969,665104,Mandarin,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Hindu,Lomba Tari Provinsi,Bus Sekolah,0361-556677,"jakarta selatan jawa barat tk nasional plus c ruang musik, ruang seni basket, pramuka, musik hindu 1877969 665104",0.046864475,www.sdbintangtimur174.sch.id
SMA Nusantara 188,Jl. Raya Ujung,Pasar Rebo,Jakarta Timur,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Tidak Ada,022-7654321,"denpasar bali tk negeri b lab komputer, perpustakaan, lapangan pencak silat, kir katolik 2041629 18393831",0.05051588,www.smanusantara188.sch.id
Sekolah Harapan Bangsa 129,Jl. Sudirman No.25,Gambir,Jakarta Pusat,SD,Nasional Plus,IB,2230106,3536948,Jepang,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Tidak Ada,Lomba Tari Provinsi,Bus Sekolah,0361-556677,"jakarta selatan jawa timur sd nasional plus b lab komputer, perpustakaan, lapangan basket, pramuka, musik tidak ada 2230106 3536948",0.095643995,www.sekolahharapanbangsa129.sch.id
TK Ceria 122,Jl. Raya Ujung,Jatinegara,Jakarta Timur,TK,Internasional,Cambridge,2266404,17048777,Bahasa Inggris,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Hindu,Juara 1 OSN,Bus Sekolah,031-8765432,"surabaya jawa timur smp internasional b kolam renang, aula futsal, tari, robotik hindu 2266404 17048777",0,www.tkceria122.sch.id
Sekolah Harapan Bangsa 170,Jl. Mawar No.2,Tanjung Priok,Jakarta Utara,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Debat Nasional,Antar Jemput Pribadi,0274-998877,"bandung bali sd negeri c lab komputer, perpustakaan, lapangan pencak silat, kir hindu 2608285 5325000",0.05051349,www.sekolahharapanbangsa170.sch.id
TK Ceria 287,Jl. Sudirman No.25,Kebayoran Lama,Jakarta Selatan,TK,Internasional,IB,856993,10682078,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Tidak Ada,Olimpiade Matematika,Bus Sekolah,0274-998877,"bandung dki jakarta sma internasional b lab komputer, perpustakaan, lapangan basket, pramuka, musik tidak ada 856993 10682078",0.143307307,www.tkceria287.sch.id
Sekolah Harapan Bangsa 278,Jl. Raya Ujung,Kalideres,Jakarta Barat,SD,Nasional Plus,Kurikulum 2013,2863882,11633803,Mandarin,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Juara 1 OSN,Bus Sekolah,031-8765432,"yogyakarta bali sd nasional plus a kolam renang, aula futsal, tari, robotik islam 2863882 11633803",0.02992187,www.sekolahharapanbangsa278.sch.id
SMA Nusantara 269,Jl. Merdeka No.10,Pademangan,Jakarta Utara,SMA,Nasional,Kurikulum 2013,2707295,1311316,Bahasa Indonesia,B,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Debat Nasional,Bus Sekolah,022-7654321,"jakarta selatan di yogyakarta sma nasional b kolam renang, aula pencak silat, kir islam 2707295 1311316",0.066438802,www.smanusantara269.sch.id
SD Bintang Timur 117,Jl. Raya Ujung,Cilincing,Jakarta Utara,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Lomba Tari Provinsi,Tidak Ada,021-1234567,"surabaya dki jakarta smp negeri a lab komputer, perpustakaan, lapangan basket, pramuka, musik hindu 1241039 2429523",0.124806316,www.sdbintangtimur117.sch.id
SD Bintang Timur 185,Jl. Raya Ujung,Menteng,Jakarta Pusat,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Bus Sekolah,0361-556677,"yogyakarta di yogyakarta sd negeri c lab komputer, perpustakaan, lapangan futsal, tari, robotik kristen 1943756 8676428",0.049195986,www.sdbintangtimur185.sch.id
Sekolah Harapan Bangsa 33,Jl. Merdeka No.10,Mampang Prapatan,Jakarta Selatan,SD,Nasional,IB,2330809,17898926,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Katolik,Debat Nasional,Bus Sekolah,021-1234567,"surabaya di yogyakarta tk nasional a lab komputer, perpustakaan, lapangan basket, pramuka, musik katolik 2330809 17898926",0.084290729,www.sekolahharapanbangsa33.sch.id
Sekolah Harapan Bangsa 254,Jl. Merdeka No.10,Tambora,Jakarta Barat,SD,Internasional,Cambridge,2752591,1181206,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Olimpiade Matematika,Antar Jemput Pribadi,0361-556677,"bandung jawa barat tk internasional b lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 2752591 1181206",0.083880813,www.sekolahharapanbangsa254.sch.id
Sekolah Harapan Bangsa 300,Jl. Gatot Subroto No.15,Senen,Jakarta Pusat,SD,Internasional,IB,1087309,3952279,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Lomba Tari Provinsi,Tidak Ada,021-1234567,"jakarta selatan dki jakarta tk internasional c ruang musik, ruang seni basket, pramuka, musik islam 1087309 3952279",0.112636387,www.sekolahharapanbangsa300.sch.id
TK Ceria 133,Jl. Raya Ujung,Kelapa Gading,Jakarta Utara,TK,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Juara 1 OSN,Bus Sekolah,0274-998877,"denpasar bali smp negeri b lab komputer, perpustakaan, lapangan pencak silat, kir kristen 2646125 10486385",0.05049254,www.tkceria133.sch.id
TK Ceria 253,Jl. Sudirman No.25,Pantai Indah Kapuk,Jakarta Utara,TK,Internasional,Cambridge,2404292,12351220,Bahasa Inggris,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Budha,Debat Nasional,Antar Jemput Pribadi,022-7654321,"denpasar jawa timur sma internasional a ruang musik, ruang seni basket, pramuka, musik budha 2404292 12351220",0.053326277,www.tkceria253.sch.id
SMA Nusantara 188,Jl. Sudirman No.25,Jagakarsa,Jakarta Selatan,SMA,Internasional,IB,452712,13525764,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Hindu,Juara 1 OSN,Antar Jemput Pribadi,0361-556677,"yogyakarta bali smp internasional b ruang musik, ruang seni pencak silat, kir hindu 452712 13525764",0,www.smanusantara188.sch.id
SD Bintang Timur 265,Jl. Gatot Subroto No.15,Taman Sari,Jakarta Barat,SD,Nasional,Kurikulum Merdeka,2185782,13065187,Bahasa Indonesia,B,"Kolam Renang, Aula","Pencak Silat, KIR",Budha,Lomba Tari Provinsi,Tidak Ada,021-1234567,"surabaya jawa timur smp nasional b kolam renang, aula pencak silat, kir budha 2185782 13065187",0,www.sdbintangtimur265.sch.id
SMA Nusantara 213,Jl. Gatot Subroto No.15,Menteng,Jakarta Pusat,SMA,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Debat Nasional,Antar Jemput Pribadi,022-7654321,"bandung jawa barat tk negeri c lab komputer, perpustakaan, lapangan basket, pramuka, musik islam 555090 5810027",0.113217281,www.smanusantara213.sch.id
Sekolah Harapan Bangsa 125,Jl. Gatot Subroto No.15,Menteng,Jakarta Pusat,SMA,Internasional,Cambridge,1373238,8578464,Bahasa Inggris,A,"Ruang Musik, Ruang Seni, Aula","Pencak Silat, KIR, Robotik",Kristen,Debat Nasional,Bus Sekolah,022-7654321,"denpasar dki jakarta smp internasional a ruang musik, ruang seni pencak silat, kir tidak ada 1373238 8578464",0.039349275,www.sekolahharapanbangsa125.sch.id
SMA Nusantara 137,Jl. Merdeka No.10,Menteng,Jakarta Pusat,SMA,Internasional,Cambridge,1226602,3322424,Bahasa Inggris,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Kristen,Olimpiade Matematika,Bus Sekolah,021-1234567,"jakarta selatan jawa timur sd internasional a kolam renang, aula futsal, tari, robotik kristen 1226602 3322424",0.015509019,www.smanusantara137.sch.id
SD Bintang Timur 211,Jl. Raya Ujung,Gambir,Jakarta Pusat,SD,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Olimpiade Matematika,Bus Sekolah,021-1234567,"surabaya jawa barat sd negeri b lab komputer, perpustakaan, lapangan pencak silat, kir budha 634692 9948804",0.050065672,www.sdbintangtimur211.sch.id
TK Ceria 258,Jl. Sudirman No.25,Kemayoran,Jakarta Pusat,TK,Internasional,Cambridge,2027026,11429632,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Tidak Ada,Debat Nasional,Bus Sekolah,031-8765432,"bandung jawa barat smp internasional c lab komputer, perpustakaan, lapangan futsal, tari, robotik tidak ada 2027026 11429632",0.048995333,www.tkceria258.sch.id
SMA Nusantara 33,Jl. Sudirman No.25,Menteng,Jakarta Pusat,SMA,Nasional,IB,2481819,8708746,Jepang,B,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Katolik,Juara 1 OSN,Antar Jemput Pribadi,0274-998877,"bandung dki jakarta tk nasional b ruang musik, ruang seni basket, pramuka, musik katolik 2481819 8708746",0.072760759,www.smanusantara33.sch.id
SD Bintang Timur 219,Jl. Merdeka No.10,Johar Baru,Jakarta Pusat,SD,Nasional Plus,Cambridge,1190164,13246955,Bahasa Inggris,B,"Kolam Renang, Aula","Pencak Silat, KIR",Katolik,Olimpiade Matematika,Tidak Ada,031-8765432,"jakarta selatan jawa timur sd nasional plus b kolam renang, aula pencak silat, kir katolik 1190164 13246955",0.015389521,www.sdbintangtimur219.sch.id
TK Ceria 175,Jl. Merdeka No.10,Gambir,Jakarta Pusat,TK,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Antar Jemput Pribadi,022-7654321,"denpasar jawa timur sma negeri b ruang musik, ruang seni futsal, tari, robotik hindu 2740474 5294603",0.020839215,www.tkceria175.sch.id
SMP Pelita Ilmu 107,Jl. Mawar No.2,Cengkareng,Jakarta Barat,SMP,Internasional,Cambridge,535953,19547929,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Tidak Ada,Debat Nasional,Tidak Ada,021-1234567,"denpasar di yogyakarta smp internasional b ruang musik, ruang seni pencak silat, kir tidak ada 535953 19547929",0,www.smppelitailmu107.sch.id
Sekolah Harapan Bangsa 285,Jl. Mawar No.2,Johar Baru,Jakarta Pusat,SMP,Internasional,Cambridge,213113,5414571,Bahasa Inggris,B,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Juara 1 OSN,Tidak Ada,0361-556677,"yogyakarta jawa barat tk internasional b kolam renang, aula pencak silat, kir islam 213113 5414571",0.029859633,www.sekolahharapanbangsa285.sch.id
TK Ceria 234,Jl. Raya Ujung,Kelapa Gading,Jakarta Utara,TK,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Juara 1 OSN,Tidak Ada,022-7654321,"bandung bali smp negeri b lab komputer, perpustakaan, lapangan pencak silat, kir tidak ada 415718 12970362",0.049450867,www.tkceria234.sch.id
SMA Nusantara 24,Jl. Sudirman No.25,Cilincing,Jakarta Utara,SMA,Nasional Plus,Kurikulum 2013,2711222,692305,Bahasa Indonesia,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Budha,Lomba Tari Provinsi,Tidak Ada,021-1234567,"surabaya dki jakarta tk nasional plus b kolam renang, aula basket, pramuka, musik budha 2711222 692305",0.074845285,www.smanusantara24.sch.id
Sekolah Harapan Bangsa 84,Jl. Merdeka No.10,Cipayung,Jakarta Timur,SMP,Nasional Plus,IB,1816838,9494422,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Hindu,Juara 1 OSN,Tidak Ada,0361-556677,"surabaya di yogyakarta smp nasional plus c lab komputer, perpustakaan, lapangan basket, pramuka, musik hindu 1816838 9494422",0.083031444,www.sekolahharapanbangsa84.sch.id
TK Ceria 145,Jl. Mawar No.2,Penjaringan,Jakarta Utara,TK,Nasional Plus,Kurikulum Merdeka,1254886,17152718,Mandarin,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Olimpiade Matematika,Bus Sekolah,022-7654321,"yogyakarta bali tk nasional plus a lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 1254886 17152718",0.084630914,www.tkceria145.sch.id
Sekolah Harapan Bangsa 213,Jl. Raya Ujung,Johar Baru,Jakarta Pusat,SD,Nasional Plus,Kurikulum Merdeka,1160724,16791547,Mandarin,A,"Kolam Renang, Aula","Pencak Silat, KIR",Budha,Olimpiade Matematika,Antar Jemput Pribadi,0361-556677,"surabaya dki jakarta sma nasional plus a kolam renang, aula pencak silat, kir budha 1160724 16791547",0.062287962,www.sekolahharapanbangsa213.sch.id
SD Bintang Timur 258,Jl. Merdeka No.10,Sawah Besar,Jakarta Pusat,SD,Internasional,IB,224331,6229112,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Tidak Ada,Olimpiade Matematika,Antar Jemput Pribadi,022-7654321,"jakarta selatan jawa barat smp internasional c lab komputer, perpustakaan, lapangan pencak silat, kir tidak ada 224331 6229112",0.063592179,www.sdbintangtimur258.sch.id
SD Bintang Timur 197,Jl. Merdeka No.10,Cakung,Jakarta Timur,SD,Nasional,Kurikulum Merdeka,1842488,18589984,Mandarin,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Katolik,Juara 1 OSN,Antar Jemput Pribadi,0274-998877,"surabaya dki jakarta sma nasional b kolam renang, aula basket, pramuka, musik katolik 1842488 18589984",0.097828641,www.sdbintangtimur197.sch.id
SMA Nusantara 82,Jl. Merdeka No.10,Kalideres,Jakarta Barat,SMA,Nasional,Cambridge,959155,2712303,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Katolik,Juara 1 OSN,Bus Sekolah,0274-998877,"surabaya bali sd nasional c ruang musik, ruang seni basket, pramuka, musik katolik 959155 2712303",0.033189347,www.smanusantara82.sch.id
SMA Nusantara 34,Jl. Merdeka No.10,Johar Baru,Jakarta Pusat,SMA,Nasional,IB,446913,8110198,Mandarin,A,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Hindu,Lomba Tari Provinsi,Antar Jemput Pribadi,021-1234567,"jakarta selatan bali smp nasional a ruang musik, ruang seni pencak silat, kir hindu 446913 8110198",0.015325243,www.smanusantara34.sch.id
SMP Pelita Ilmu 211,Jl. Merdeka No.10,Kembangan,Jakarta Barat,SMP,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Lomba Tari Provinsi,Bus Sekolah,0361-556677,"surabaya di yogyakarta sma negeri a ruang musik, ruang seni basket, pramuka, musik hindu 1667085 7246126",0.053239412,www.smppelitailmu211.sch.id
SMA Nusantara 257,Jl. Merdeka No.10,Mampang Prapatan,Jakarta Selatan,SMA,Nasional,Kurikulum 2013,450159,12142393,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Kristen,Debat Nasional,Bus Sekolah,021-1234567,"jakarta selatan jawa timur sd nasional c ruang musik, ruang seni pencak silat, kir kristen 450159 12142393",0.015160764,www.smanusantara257.sch.id
SD Bintang Timur 157,Jl. Raya Ujung,Cempaka Putih,Jakarta Pusat,SD,Internasional,Cambridge,1416470,9806835,Bahasa Inggris,B,"Kolam Renang, Aula","Pencak Silat, KIR",Katolik,Debat Nasional,Antar Jemput Pribadi,021-1234567,"jakarta selatan bali smp internasional b kolam renang, aula pencak silat, kir katolik 1416470 9806835",0.015696273,www.sdbintangtimur157.sch.id
Sekolah Harapan Bangsa 98,Jl. Gatot Subroto No.15,Tanah Abang,Jakarta Pusat,TK,Internasional,IB,2804881,15992288,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Hindu,Debat Nasional,Bus Sekolah,031-8765432,"jakarta selatan jawa timur sma internasional b lab komputer, perpustakaan, lapangan basket, pramuka, musik hindu 2804881 15992288",0.119446055,www.sekolahharapanbangsa98.sch.id
TK Ceria 62,Jl. Gatot Subroto No.15,Grogol Petamburan,Jakarta Barat,TK,Nasional,Kurikulum Merdeka,2099536,13586374,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Kristen,Juara 1 OSN,Antar Jemput Pribadi,021-1234567,"surabaya jawa barat sd nasional c ruang musik, ruang seni pencak silat, kir kristen 2099536 13586374",0,www.tkceria62.sch.id
TK Ceria 133,Jl. Mawar No.2,Jatinegara,Jakarta Timur,TK,Nasional,Kurikulum Merdeka,917627,9729563,Jepang,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Debat Nasional,Bus Sekolah,0361-556677,"denpasar bali sma nasional c lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 917627 9729563",0.107192724,www.tkceria133.sch.id
SD Bintang Timur 48,Jl. Merdeka No.10,Penjaringan,Jakarta Utara,SD,Internasional,Cambridge,2108663,3913367,Bahasa Inggris,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Katolik,Juara 1 OSN,Bus Sekolah,031-8765432,"jakarta selatan jawa timur sma internasional a lab komputer, perpustakaan, lapangan basket, pramuka, musik katolik 2108663 3913367",0.119486755,www.sdbintangtimur48.sch.id
TK Ceria 167,Jl. Mawar No.2,Kebayoran Lama,Jakarta Selatan,TK,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Bus Sekolah,0361-556677,"surabaya bali tk negeri a kolam renang, aula futsal, tari, robotik kristen 1745787 810777",0,www.tkceria167.sch.id
Sekolah Harapan Bangsa 84,Jl. Gatot Subroto No.15,Kelapa Dua,Jakarta Barat,SMP,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Debat Nasional,Bus Sekolah,0274-998877,"jakarta selatan jawa timur tk negeri a lab komputer, perpustakaan, lapangan futsal, tari, robotik hindu 373299 1861667",0.064649075,www.sekolahharapanbangsa84.sch.id
SMP Pelita Ilmu 202,Jl. Raya Ujung,Koja,Jakarta Utara,SMP,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Debat Nasional,Antar Jemput Pribadi,031-8765432,"surabaya bali sd negeri c lab komputer, perpustakaan, lapangan futsal, tari, robotik hindu 2089161 13502622",0.050538731,www.smppelitailmu202.sch.id
Sekolah Harapan Bangsa 144,Jl. Sudirman No.25,Pasar Rebo,Jakarta Timur,SD,Internasional,Cambridge,2813198,13970217,Bahasa Inggris,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Juara 1 OSN,Tidak Ada,022-7654321,"jakarta selatan bali smp internasional a ruang musik, ruang seni basket, pramuka, musik islam 2813198 13970217",0.076265706,www.sekolahharapanbangsa144.sch.id
SMA Nusantara 51,Jl. Mawar No.2,Cilincing,Jakarta Utara,SMA,Internasional,Cambridge,2520041,11842784,Bahasa Inggris,A,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Kristen,Olimpiade Matematika,Bus Sekolah,0361-556677,"jakarta selatan jawa barat sd internasional a lab komputer, perpustakaan, lapangan futsal, tari, robotik kristen 2520041 11842784",0.064856225,www.smanusantara51.sch.id
SD Bintang Timur 264,Jl. Sudirman No.25,Johar Baru,Jakarta Pusat,SD,Nasional,Kurikulum 2013,1257979,1670598,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Hindu,Lomba Tari Provinsi,Antar Jemput Pribadi,0274-998877,"denpasar di yogyakarta smp nasional c lab komputer, perpustakaan, lapangan basket, pramuka, musik hindu 1257979 1670598",0.084301636,www.sdbintangtimur264.sch.id
SMP Pelita Ilmu 96,Jl. Gatot Subroto No.15,Sawah Besar,Jakarta Pusat,SMP,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Olimpiade Matematika,Bus Sekolah,0274-998877,"jakarta selatan jawa barat sd negeri c lab komputer, perpustakaan, lapangan pencak silat, kir tidak ada 298530 6021193",0.06359856,www.smppelitailmu96.sch.id
SMP Pelita Ilmu 204,Jl. Mawar No.2,Pasar Minggu,Jakarta Selatan,SMP,Nasional Plus,IB,1674644,10888524,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Tidak Ada,Juara 1 OSN,Antar Jemput Pribadi,0361-556677,"yogyakarta jawa timur sma nasional plus c lab komputer, perpustakaan, lapangan futsal, tari, robotik tidak ada 1674644 10888524",0.069659563,www.smppelitailmu204.sch.id
SMA Nusantara 208,Jl. Merdeka No.10,Cengkareng,Jakarta Barat,SMA,Nasional Plus,Kurikulum 2013,151113,6088780,Mandarin,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Katolik,Debat Nasional,Bus Sekolah,0274-998877,"bandung di yogyakarta sma nasional plus b lab komputer, perpustakaan, lapangan pencak silat, kir katolik 151113 6088780",0.070541911,www.smanusantara208.sch.id
SD Bintang Timur 285,Jl. Merdeka No.10,Kemayoran,Jakarta Pusat,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Lomba Tari Provinsi,Tidak Ada,031-8765432,"denpasar bali smp negeri c ruang musik, ruang seni basket, pramuka, musik katolik 1528181 17525920",0.032942634,www.sdbintangtimur285.sch.id
SMP Pelita Ilmu 225,Jl. Gatot Subroto No.15,Pademangan,Jakarta Utara,SMP,Internasional,Cambridge,2559187,15795065,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Bus Sekolah,031-8765432,"jakarta selatan dki jakarta smp internasional c ruang musik, ruang seni pencak silat, kir islam 2559187 15795065",0.081622271,www.smppelitailmu225.sch.id
TK Ceria 93,Jl. Sudirman No.25,Pasar Rebo,Jakarta Timur,TK,Internasional,IB,1068246,14956621,Bahasa Inggris,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Hindu,Olimpiade Matematika,Tidak Ada,031-8765432,"jakarta selatan dki jakarta smp internasional b kolam renang, aula futsal, tari, robotik hindu 1068246 14956621",0.055181934,www.tkceria93.sch.id
SMP Pelita Ilmu 263,Jl. Sudirman No.25,Tambora,Jakarta Barat,SMP,Internasional,IB,906473,4513923,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Budha,Juara 1 OSN,Tidak Ada,031-8765432,"jakarta selatan jawa timur smp internasional c lab komputer, perpustakaan, lapangan pencak silat, kir budha 906473 4513923",0.064768258,www.smppelitailmu263.sch.id
SMP Pelita Ilmu 98,Jl. Merdeka No.10,Tanah Abang,Jakarta Pusat,SMP,Internasional,IB,1081793,19894477,Bahasa Inggris,A,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Tidak Ada,Olimpiade Matematika,Bus Sekolah,031-8765432,"surabaya di yogyakarta smp internasional a ruang musik, ruang seni pencak silat, kir tidak ada 1081793 19894477",0,www.smppelitailmu98.sch.id
SMP Pelita Ilmu 119,Jl. Raya Ujung,Kelapa Dua,Jakarta Barat,SMP,Internasional,Cambridge,1801580,16074222,Bahasa Inggris,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Tidak Ada,Lomba Tari Provinsi,Tidak Ada,022-7654321,"surabaya dki jakarta sd internasional c kolam renang, aula futsal, tari, robotik tidak ada 1801580 16074222",0.040496689,www.smppelitailmu119.sch.id
TK Ceria 141,Jl. Merdeka No.10,Cengkareng,Jakarta Barat,TK,Nasional,IB,2731361,2714354,Mandarin,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Katolik,Juara 1 OSN,Tidak Ada,0274-998877,"yogyakarta di yogyakarta sma nasional b ruang musik, ruang seni pencak silat, kir katolik 2731361 2714354",0.020689401,www.tkceria141.sch.id
SMA Nusantara 171,Jl. Raya Ujung,Cengkareng,Jakarta Barat,SMA,Nasional,Cambridge,1384030,5990756,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Kristen,Debat Nasional,Antar Jemput Pribadi,0274-998877,"bandung bali sma nasional b ruang musik, ruang seni basket, pramuka, musik kristen 1384030 5990756",0.054150315,www.smanusantara171.sch.id
SMP Pelita Ilmu 73,Jl. Raya Ujung,Koja,Jakarta Utara,SMP,Nasional,Kurikulum 2013,2267569,11227168,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Debat Nasional,Bus Sekolah,0274-998877,"denpasar dki jakarta sd nasional c lab komputer, perpustakaan, lapangan pencak silat, kir islam 2267569 11227168",0.121031392,www.smppelitailmu73.sch.id
SD Bintang Timur 52,Jl. Gatot Subroto No.15,Gambir,Jakarta Pusat,SD,Nasional,Kurikulum Merdeka,1472226,4319088,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Budha,Lomba Tari Provinsi,Antar Jemput Pribadi,022-7654321,"yogyakarta jawa timur tk nasional b ruang musik, ruang seni pencak silat, kir budha 1472226 4319088",0,www.sdbintangtimur52.sch.id
